,Symbol,logFC,P.Value,adj.P.Val
7895591,NA,-0.082805988,0.804547635,0.894127711
7895592,NA,0.212241902,0.382919317,0.585114317
7895593,NA,-0.187403651,0.510420125,0.692771657
7895594,NA,-0.254288715,0.272546891,0.478603891
7895595,NA,-0.267677626,0.035935486,0.135524279
7895596,NA,-0.061783028,0.528553049,0.706654522
7895597,NA,0.195407138,0.170441908,0.357403124
7895598,NA,-0.369683589,0.039427141,0.14383757
7895599,NA,-0.071888248,0.568227569,0.73666656
7895600,NA,-0.312713078,0.276377482,0.482212378
7895601,NA,-0.399591647,0.021657988,0.097782512
7895602,NA,0.71671046,0.000580955,0.011370815
7895603,NA,-0.445239413,0.058281831,0.183804711
7895604,NA,0.490487177,0.015707687,0.079401678
7895605,NA,-0.300662631,0.173669893,0.361521502
7895606,NA,0.14398274,0.293837638,0.500835615
7895607,NA,-0.369650385,0.065260937,0.197011209
7895608,NA,-0.153756488,0.492640092,0.678360579
7895609,NA,-0.023835471,0.847249068,0.919099896
7895610,NA,0.414773526,0.002029368,0.022881367
7895611,NA,-0.333663768,0.24663998,0.44977115
7895612,NA,-0.381511777,0.120182889,0.288151754
7895613,NA,-0.030434826,0.626821753,0.778259549
7895614,NA,-0.127604351,0.467242227,0.657499976
7895615,NA,-0.434166747,0.262373181,0.467656749
7895616,NA,0.265946745,0.003347132,0.030761653
7895617,NA,-0.382492872,0.092937141,0.245106482
7895618,NA,0.221827322,0.083176794,0.228490859
7895619,NA,0.287416181,0.172506654,0.360145092
7895620,NA,0.092121898,0.448079879,0.641470941
7895621,NA,-0.243444336,0.006149003,0.044314464
7895622,NA,-0.181098894,0.225925333,0.425681068
7895623,NA,0.183149195,0.273719527,0.479560068
7895624,NA,-0.666809973,0.005217069,0.040226968
7895625,NA,-0.341688748,0.036214931,0.136084928
7895626,NA,-0.135389331,0.109394193,0.271451914
7895627,NA,-0.479503883,0.010725945,0.062317535
7895628,NA,0.130532939,0.505692926,0.688983591
7895629,NA,0.342978418,0.046672597,0.159331364
7895630,NA,0.588356653,0.012908976,0.06985701
7895631,NA,0.182920834,0.283573193,0.489317402
7895632,NA,0.362467178,0.019141735,0.090354741
7895633,NA,0.08224587,0.656965185,0.797782904
7895634,NA,-0.139231611,0.422895624,0.62050657
7895635,NA,-0.154270653,0.561156356,0.731963144
7895636,NA,0.177581832,0.406938305,0.606039213
7895637,NA,-0.29229684,0.428288349,0.625218143
7895638,NA,-0.963215478,0.004756619,0.038017555
7895639,NA,-0.24736817,0.527239976,0.706061352
7895640,NA,0.612823019,0.0096218,0.058194287
7895641,NA,-0.326169953,0.079317408,0.222139018
7895642,NA,-0.109614924,0.517721038,0.698397982
7895643,NA,0.525786709,0.002697898,0.027090341
7895644,NA,0.01552145,0.862721908,0.927805851
7895645,NA,0.216087426,0.360226574,0.565323289
7895646,NA,-0.201084615,0.333628788,0.539404073
7895647,NA,0.642221641,0.009066134,0.056100176
7895648,NA,0.496167043,0.070878118,0.207453861
7895649,NA,-0.04986677,0.811398488,0.89766872
7895650,NA,-0.597057064,0.012667345,0.069006708
7895651,NA,-0.141882271,0.201320812,0.396767036
7895652,NA,-0.269954349,0.081585172,0.225892901
7895653,NA,-0.090085822,0.300170851,0.506963674
7895654,NA,0.036695582,0.881367176,0.938499612
7895655,NA,0.065523477,0.675469673,0.809959209
7895656,NA,0.128044551,0.583672315,0.74759721
7895657,NA,0.123878949,0.285033844,0.490997117
7895658,NA,0.354379021,0.033935789,0.130525583
7895659,NA,-0.312062897,0.002429603,0.025411458
7895660,NA,-0.035472865,0.874038189,0.934340875
7895661,NA,0.240628341,0.174484388,0.362523816
7895662,NA,-0.454809822,0.021708498,0.097997268
7895663,NA,-0.286305703,0.135089766,0.309295464
7895664,NA,0.027973414,0.893662671,0.944793966
7895665,NA,0.40186204,0.08802485,0.236883814
7895666,NA,-0.168671298,0.307951466,0.514436832
7895667,NA,-0.006582666,0.901618759,0.948776936
7895668,NA,0.079104626,0.502025062,0.686006832
7895669,NA,-0.796128846,0.010074872,0.059850669
7895670,NA,0.405885771,0.105575587,0.265229389
7895671,NA,-0.438727531,0.193745959,0.387224442
7895672,NA,-0.314946672,0.08020974,0.223494206
7895673,NA,0.273541145,0.53591903,0.712774819
7895674,NA,0.099219747,0.519410106,0.699805133
7895675,NA,0.165217912,0.355091757,0.560673855
7895676,NA,0.225707794,0.053329466,0.173426234
7895677,NA,-0.199633281,0.261166701,0.466734089
7895678,NA,-0.292576786,0.139613501,0.315444849
7895679,NA,-0.293583253,0.130314294,0.303029196
7895680,NA,-0.099973974,0.249213003,0.45290063
7895681,NA,-0.332370342,0.098182233,0.253817843
7895682,NA,-0.515399099,0.076392238,0.216993965
7895683,NA,-0.339236604,0.293890472,0.500865916
7895684,NA,-0.291689345,0.185867242,0.377275149
7895685,NA,0.085195035,0.332623669,0.538423447
7895686,NA,-0.23756607,0.209185749,0.406326097
7895687,NA,-0.547587775,0.02798253,0.115399346
7895688,NA,-0.236392932,0.038627022,0.14191371
7895689,NA,0.016317951,0.8315704,0.909858031
7895690,NA,0.146680454,0.132661123,0.306175571
7895691,NA,-0.438365407,0.001315552,0.01791572
