,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
8115397,FAXDC2,0.904438843,8.928562285,1.828941005,0.081711743,0.230592075,-4.722348585
8115410,GEMIN5,-0.3980889,9.064892605,-2.012637917,0.057212447,0.190457399,-4.420593196
8115441,NA,0.307221744,4.989479193,2.517893344,0.020029973,0.113965731,-3.499591012
8115443,NA,-0.208772186,4.458532254,-0.687006694,0.499629575,0.66166855,-6.052791946
8115445,TIMD4,0.065826354,5.969655922,0.486641555,0.631575414,0.763489928,-6.169782704
8115455,HAVCR1,-0.100879872,6.073372558,-0.383535717,0.705195403,0.816840302,-6.214773494
8115464,HAVCR2,0.136725864,7.78182425,0.413294324,0.683599762,0.801057157,-6.202863449
8115476,MED7,-0.268519761,8.086519753,-1.857563498,0.077374939,0.224089296,-4.676652968
8115481,FAM71B,0.231748323,5.78465913,2.143322616,0.044009731,0.167131998,-4.194334135
8115487,FNDC9,0.15974827,6.826121436,1.455289646,0.160442423,0.334552166,-5.269481183
8115490,ADAM19,-0.177219283,7.806237852,-1.044093993,0.308365989,0.489856501,-5.751501607
8115516,SOX30,0.03616495,6.304423278,0.210130593,0.835600268,0.905047887,-6.266640647
8115524,CLINT1,0.003617233,11.47036198,0.033267224,0.973777086,0.985767227,-6.288407987
8115541,NA,0.034411675,4.132071718,0.323046685,0.749868963,0.846770154,-6.236275728
8115543,EBF1,-0.247898838,7.472341511,-0.688081479,0.498966277,0.661046438,-6.052060899
8115562,RNF145,-0.152658212,8.787672724,-1.403003672,0.175294281,0.352483464,-5.338172293
8115570,IL12B,0.236187836,6.200189378,1.859190291,0.077134603,0.223650402,-4.674040728
8115580,PWWP2A,0.046745872,8.949508597,0.543570763,0.592486993,0.734804805,-6.140479332
8115584,CCNJL,0.396702996,7.751533794,3.880150125,0.000870819,0.029770602,-0.611275913
8115594,C1QTNF2,0.288771267,6.634783347,2.747142339,0.012107155,0.092812,-3.045941335
8115600,ZBED8,-0.380801499,6.682069068,-1.22141634,0.235524675,0.417274934,-5.560363036
8115606,SLU7,-0.715634579,8.985527146,-1.790232482,0.087912187,0.240053476,-4.783338038
8115623,ATP10B,0.321130437,5.955177766,2.698744865,0.013480661,0.09688443,-3.143263802
8115651,GABRB2,0.37126688,6.064473316,2.611763554,0.01632737,0.105297783,-3.316142402
8115664,NA,0.085798896,7.002728969,0.693052111,0.495905219,0.658675684,-6.048665794
8115666,NUDCD2,-0.423722829,7.444985841,-1.622377576,0.119708084,0.284708577,-5.036605214
8115673,NA,0.082069947,4.466661563,0.85439808,0.402569916,0.57927271,-5.925950653
8115675,NA,-0.016008847,3.848720923,-0.150557918,0.881767745,0.932988675,-6.277499873
8115677,NA,-0.061304766,3.49424087,-0.726016096,0.475879549,0.642194984,-6.025561871
8115679,NA,-0.079284128,4.479959209,-0.341547174,0.736101074,0.837832688,-6.230085471
8115681,PANK3,-0.167201435,9.683744923,-1.22947757,0.232551832,0.414188955,-5.551054513
8115689,MIR103A1,0.421987552,5.61048326,3.568996416,0.001821583,0.040628649,-1.30086499
8115691,SLIT3,0.151828715,6.545384571,1.544828684,0.137392273,0.30590107,-5.147166551
8115730,MIR218-2,0.278266633,5.457434069,2.239604029,0.036118518,0.152021022,-4.021971165
8115732,NA,0.311217525,6.472745278,1.83738133,0.080411395,0.228783919,-4.708926056
8115734,LCP2,-0.011785835,11.58705014,-0.074194408,0.94156108,0.967747848,-6.286181959
8115756,KCNMB1,-0.141686646,7.750340906,-0.706333621,0.487779075,0.652088966,-6.039479858
