,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B, -log10
8154223,NA,-0.003441591,4.861430138,-0.020722878,0.983632552,0.999903525,-5.039111825,0.007167107
8154225,NA,0.064905639,7.564034056,0.356847083,0.724224771,0.999903525,-5.000395213,0.140126625
8154227,NA,0.113978048,10.15415562,0.531083211,0.600085769,0.999903525,-4.953572866,0.221786672
8154229,INSL4,0.067078614,5.316815249,1.055823796,0.301226311,0.999903525,-4.70840155,0.521107097
8154233,CD274,-0.050396814,6.743311603,-0.185366698,0.854449142,0.999903525,-5.028733012,0.068313782
8154245,PDCD1LG2,0.158877721,6.066199148,1.899432204,0.06919861,0.999903525,-4.036939798,1.159902629
8154254,RIC1,0.015747603,8.984834595,0.189428169,0.851299082,0.999903525,-5.02826787,0.069917835
8154283,NA,0.018685961,5.281974249,0.112801537,0.911096041,0.999903525,-5.035348835,0.040435841
8154285,MLANA,0.014584047,6.031547273,0.216805658,0.830133454,0.999903525,-5.024870663,0.080852084
8154295,IL33,0.069868918,4.23170904,1.393416338,0.175857739,0.999903525,-4.475798106,0.754838515
8154305,SELENOT,-0.032749939,12.16500956,-0.31266477,0.757149457,0.999903525,-5.009394459,0.120818385
8154307,TPD52L3,-0.099801787,5.096871027,-1.854542526,0.075590153,0.999903525,-4.079622208,1.121534776
8154316,UHRF2,-0.029126754,10.32766781,-0.218267404,0.829006891,0.999903525,-5.024676466,0.081441859
8154333,KDM4C,0.03266263,9.202340508,0.255284975,0.800608318,0.999903525,-5.019326401,0.096579902
8154357,NA,0.040533678,8.567599731,0.615926729,0.543555135,0.999903525,-4.924329078,0.264756397
8154359,RPL18A,-0.017981279,12.12167474,-0.248795763,0.805567642,0.999903525,-5.020324329,0.093897987
8154361,NA,0.013925887,3.455706951,0.31675832,0.754078078,0.999903525,-5.008609992,0.122583685
8154363,NA,-0.048253035,10.54097538,-0.254149053,0.801475828,0.999903525,-5.019502928,0.096109571
8154365,NA,-0.013996331,6.542599607,-0.120086953,0.905381855,0.999903525,-5.034829744,0.043168214
8154367,TYRP1,0.033282605,5.153543212,0.589115625,0.561112298,0.999903525,-4.934020106,0.250950213
8154379,NA,-0.042760228,5.698627431,-0.811320364,0.424900353,0.999903525,-4.841405234,0.371712908
8154381,LURAP1L,0.04731236,6.44859869,0.567559909,0.575436365,0.999903525,-4.941510869,0.240002696
8154386,NA,0.051143276,5.001493047,0.700848522,0.489921727,0.999903525,-4.89092289,0.3098733
8154388,NA,-0.007086183,11.27239432,-0.089933352,0.929062581,0.999903525,-5.036767497,0.031955031
8154392,NA,0.117975877,6.69896835,1.527046787,0.13940383,0.999903525,-4.369549055,0.855725294
8154394,SNAPC3,0.038960593,11.43015418,0.55900349,0.581172681,0.999903525,-4.944409696,0.235694809
8154414,NA,-0.036068812,3.751163526,-0.422856442,0.676044189,0.999903525,-4.984773183,0.170024916
8154416,CCDC171,0.060221167,8.528400711,0.468669759,0.643399295,0.999903525,-4.972408185,0.191519419
8154447,NA,-0.011470153,5.051317066,-0.161835678,0.872746565,0.999903525,-5.031230201,0.059111852
8154449,CNTLN,-0.010466353,8.372956766,-0.093503332,0.926255023,0.999903525,-5.036567086,0.033269424
8154476,SH3GL2,-0.031825559,6.961077856,-0.531546575,0.599769487,0.999903525,-4.9534245,0.222015633
8154491,ADAMTSL1,0.051911103,5.889722634,0.644000496,0.525486937,0.999903525,-4.913739635,0.279438076
8154510,NA,0.047909468,4.361174285,0.830908616,0.413953729,0.999903525,-4.831922721,0.383048201
8154512,ADAMTSL1,0.043350131,6.399300113,0.624847811,0.53777814,0.999903525,-4.921012932,0.269396855
8154523,RRAGA,-0.039734206,8.086354547,-0.906246095,0.373526949,0.999903525,-4.793518669,0.427678059
8154527,NA,0.048379629,7.537344464,0.595036408,0.557210137,0.999903525,-4.931915609,0.253980991
8154529,NA,0.054109426,3.995621005,0.867945047,0.393745977,0.999903525,-4.813424457,0.40478387
8154531,DENND4C,0.040952744,10.18152528,0.333235134,0.741757755,0.999903525,-5.005350496,0.129737904
8154563,ACER2,-0.012661474,6.98405992,-0.185068814,0.854680277,0.999903525,-5.028766732,0.068196318
8154572,NA,-0.022425811,4.449946602,-0.20354777,0.840367896,0.999903525,-5.026572715,0.075530547
8154574,FOCAD,-0.006629678,8.913256705,-0.062409138,0.950737298,0.999903525,-5.038050902,0.021939468
8154620,NA,0.048576309,7.694427702,0.471760675,0.641221967,0.999903525,-4.971529274,0.192991608
8154622,IFNA8,-0.003375505,5.64444369,-0.054773301,0.956757948,0.999903525,-5.038324813,0.019197921
8154627,NA,0.022327492,5.636477674,0.374632747,0.711118131,0.999903525,-4.996442023,0.148058248
8154635,NA,-0.089549523,8.229074884,-0.999761659,0.327081541,0.999903525,-4.741660118,0.485343965
8154654,CDKN2A-DT,0.033337995,6.65749218,0.491237165,0.627578074,0.999903525,-4.965861644,0.202332238
8154656,DMRTA1,0.011113621,6.575970446,0.206241012,0.838286462,0.999903525,-5.026235603,0.076607547
8154660,NA,-0.060654885,5.508245117,-1.042965816,0.307025006,0.999903525,-4.716170926,0.512826251
8154662,LOC100506422,-0.145635796,5.14091914,-1.50915303,0.143895818,0.999903525,-4.384208617,0.841951828
8154666,NA,0.029069833,5.193250497,0.414583196,0.682011391,0.999903525,-4.986873498,0.166208372
8154668,NA,-0.034647466,4.11316207,-0.460174945,0.649399997,0.999903525,-4.974794681,0.187487718
8154670,IFT74,-0.038960327,8.236614482,-0.245099149,0.808396477,0.999903525,-5.020881398,0.092375588
8154692,TEK,-0.039608236,7.824868161,-0.166593894,0.869040453,0.999903525,-5.030752456,0.060960007
