,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
7894615,NA,0.092520896,4.761601128,0.383466346,0.707848177,0.833954453,-6.596488767
7894616,NA,-0.083136775,6.537883776,-0.319229516,0.754850385,0.863595303,-6.620250024
7894617,NA,0.332873621,9.500249897,2.15392961,0.051503733,0.163653002,-4.583363702
7894618,NA,-0.385482635,7.975978468,-2.090839554,0.057690806,0.176147065,-4.687314476
7894619,NA,-0.039627158,7.980685875,-0.237209415,0.816356542,0.899954436,-6.644363093
7894620,NA,-0.994407977,6.672563627,-4.327800835,0.000905811,0.012709977,-0.658313398
7894621,NA,0.067274076,10.68695351,0.837794997,0.417954586,0.612905568,-6.311287391
7894622,NA,-0.124950979,3.515037926,-0.430101068,0.674480103,0.813082944,-6.576583668
7894623,NA,-0.180748676,4.642978997,-1.005295708,0.333912113,0.534815125,-6.157856681
7894624,NA,-0.367055395,10.63778175,-2.354368156,0.035742292,0.129093297,-4.244505268
7894625,NA,-0.108388516,5.086254434,-0.411768285,0.687516811,0.82181345,-6.584673519
7894626,NA,-0.478573911,11.74123863,-2.801290777,0.015539031,0.075544328,-3.453665751
7894627,NA,-0.055332367,9.386165306,-0.335620471,0.74275064,0.856141796,-6.614591957
7894628,NA,-0.440770986,6.99871152,-2.597870913,0.022755261,0.096806876,-3.81847586
7894629,NA,-0.620441922,5.358479701,-2.287243658,0.040424271,0.139785434,-4.359334779
7894630,NA,-0.480053252,3.809194247,-2.784938642,0.016024415,0.077122811,-3.483226388
7894631,NA,0.567051518,6.278006362,2.258620947,0.042593478,0.14457034,-4.407903379
7894632,NA,0.329277301,7.366980678,3.446657029,0.004602911,0.034425402,-2.269149113
7894633,NA,-0.62171923,7.010921212,-5.292621977,0.000169011,0.00476507,1.016993737
7894634,NA,0.279238455,13.22274077,2.747082442,0.017206156,0.080585993,-3.551517625
7894635,NA,0.49506662,9.190587055,2.515194789,0.02654562,0.106479882,-3.964622875
7894636,NA,0.152758931,4.02118911,0.609534964,0.553142155,0.723124238,-6.479590072
7894637,NA,1.259068596,9.460783104,9.056568554,7.88E-07,0.000307541,6.28857294
7894638,NA,0.121046662,11.25081188,1.757533336,0.103391784,0.256645016,-5.209852436
7894639,NA,0.21802699,10.73687026,2.078278318,0.059002772,0.178796443,-4.707839805
7894640,NA,-0.105992663,12.08780748,-1.019291961,0.327482068,0.528687754,-6.143953478
7894641,NA,-0.00357412,5.516505263,-0.012883784,0.989924871,0.994944865,-6.67412715
7894642,NA,0.089203563,11.45901098,1.335484289,0.205643742,0.395455945,-5.788917659
7894643,NA,0.127338416,3.530347366,1.074942803,0.302811213,0.504034441,-6.087081803
7894644,NA,-0.172563475,7.480659221,-1.970572289,0.071444607,0.202321065,-4.881343826
7894645,NA,0.074542598,10.47049357,0.575899085,0.574956034,0.740056822,-6.500200755
7894646,NA,-0.691664476,6.36865851,-3.697358128,0.002879279,0.025565696,-1.806551554
7894647,NA,-0.14151686,13.8410755,-2.1330009,0.053483719,0.16773546,-4.618002973
7894648,NA,0.036729084,10.37436513,0.494885255,0.629307616,0.780877084,-6.54526836
7894649,NA,0.131199761,5.722811567,0.682346316,0.507529171,0.687268643,-6.431225109
7894650,NA,-0.798172084,7.851581757,-5.457786921,0.000128404,0.004052563,1.291168618
7894651,NA,0.11454645,5.507011685,0.624048902,0.543871949,0.715358422,-6.470356489
7894652,NA,-0.117659153,6.453652196,-0.762861453,0.459770483,0.648887414,-6.371888743
7894653,NA,-0.101074384,11.41358612,-1.102067437,0.291301293,0.492383326,-6.058455495
7894654,NA,-0.408300448,4.046553246,-1.732823638,0.107827642,0.264053613,-5.246552023
7894655,NA,-0.861371142,8.317563952,-5.29265433,0.000169001,0.00476507,1.017047828
7894656,NA,-0.069707453,6.50375582,-0.362765986,0.722869625,0.843592804,-6.604610494
7894657,NA,-0.28505294,9.931293774,-1.814390607,0.093798442,0.240820936,-5.124247332
7894658,NA,-0.650875432,8.655805846,-3.02434805,0.01020448,0.057385334,-3.04733839
7894659,NA,0.07822736,3.013004366,0.772470157,0.454264891,0.644165839,-6.364404457
7894660,NA,-0.424760084,7.302767647,-1.256080429,0.2321685,0.427265491,-5.885114921
7894661,NA,0.354592211,12.56295869,4.917121481,0.00032013,0.006842054,0.379303879
7894662,NA,0.263817526,12.49275997,3.876763874,0.00206388,0.020964307,-1.476925938
7894663,NA,-0.145345045,4.486870389,-0.425546169,0.677709124,0.815077904,-6.57862559
7894664,NA,-0.292916372,6.77770516,-1.000782928,0.336004737,0.536927088,-6.162304756
7894665,NA,0.308992911,10.86496065,3.763409418,0.002546328,0.023802664,-1.685004658
7894666,NA,-0.114726726,12.44964862,-1.229179563,0.241751844,0.438193312,-5.916677901
7894667,NA,0.042347623,4.175632199,0.241526117,0.813083433,0.897921762,-6.643269312
7894668,NA,0.459245814,6.627062529,2.499269801,0.027342996,0.108476079,-3.992608842
7894669,NA,-0.809901913,5.597798024,-3.515388585,0.004045846,0.031690081,-2.142199958
7894670,NA,-1.605754253,8.608257044,-5.151342887,0.000214438,0.00545433,0.779369624
7894671,NA,-0.350380496,9.545770059,-2.611694762,0.022175149,0.095223878,-3.793907165
7894672,NA,-0.03010293,12.433364,-0.36153516,0.723766659,0.844225406,-6.605079523
7894673,NA,-0.372167119,8.299466395,-3.574396736,0.00362246,0.029534046,-2.033262347
7894674,NA,0.424040617,11.96739168,4.754205895,0.000424879,0.008145917,0.096706247
7894675,NA,0.214869679,9.656952421,1.354338693,0.19972208,0.388738299,-5.765427218
7894676,NA,-0.195945312,6.51813637,-1.182620928,0.259073726,0.458191845,-5.970038789
7894677,NA,0.168108807,3.969537686,1.424372894,0.178942362,0.36202721,-5.676071026
7894678,NA,-0.135268786,8.261810996,-1.096991723,0.293429622,0.494224601,-6.063856799
7894679,NA,-1.116316439,6.887733023,-6.507780857,2.45E-05,0.001734011,2.93974218
7894680,NA,-0.91592757,9.619523113,-5.398449905,0.000141664,0.004284275,1.193123143
7894681,NA,-0.14847093,10.81634771,-0.64551237,0.530323768,0.705374161,-6.456328566
7894682,NA,0.088959888,13.35732996,1.459134919,0.169317436,0.348957827,-5.630522005
7894683,NA,0.391318433,8.074097144,1.855608604,0.087352973,0.230328789,-5.061214158
7894685,NA,0.378771667,11.19823869,2.332692598,0.037194457,0.132768423,-4.281723617
7894686,NA,-0.565140111,5.554132892,-2.471876768,0.028769104,0.112178265,-4.040615967
7894687,NA,0.085749808,12.83639262,1.433829324,0.176279752,0.358710926,-5.663757348
7894688,NA,0.143256009,8.024943514,0.554823428,0.588854139,0.75033777,-6.512550258
7894689,NA,-0.786753304,8.6161241,-5.349096596,0.000153788,0.004503684,1.111185266
7894690,NA,-0.551977589,5.773915046,-2.140937946,0.052724566,0.166105581,-4.604884199
7894691,NA,-0.05884906,5.004278949,-0.222078437,0.827857576,0.906093409,-6.648042635
7894692,NA,-0.131970097,7.399362169,-0.981163368,0.345212709,0.54608521,-6.18144509
7894693,NA,-0.571672628,8.189012846,-2.676860282,0.01962931,0.087967315,-3.677622188
7894694,NA,-0.789095879,8.854092939,-3.02628096,0.010167314,0.057282748,-3.04379646
7894696,NA,-0.279123415,10.22655661,-1.968715721,0.07167889,0.202638764,-4.884293827
7894697,NA,-0.629294047,7.677873659,-4.286498303,0.00097587,0.013352446,-0.732517327
